,p_id,p_name,p_href,p_level,p_answer_people,try_count,category
19160,1618,구역 나누기,https://www.acmicpc.net/problem/1618,15,6,5.83,
19161,1623,신년 파티,https://www.acmicpc.net/problem/1623,15,133,2.77,
19162,1646,피이보나치 트리,https://www.acmicpc.net/problem/1646,15,128,2.41,
19163,1663,XYZ 문자열,https://www.acmicpc.net/problem/1663,15,127,4.00,
19164,1677,음악,https://www.acmicpc.net/problem/1677,15,25,2.24,
19165,1691,석판,https://www.acmicpc.net/problem/1691,15,109,1.61,
19166,1700,멀티탭 스케줄링,https://www.acmicpc.net/problem/1700,15,"6,356",3.60,
19167,1723,점 나누기,https://www.acmicpc.net/problem/1723,15,47,3.89,
19168,1736,쓰레기 치우기,https://www.acmicpc.net/problem/1736,15,261,2.33,
19169,1738,골목길,https://www.acmicpc.net/problem/1738,15,747,5.64,
19170,1798,원뿔좌표계상의 거리,https://www.acmicpc.net/problem/1798,15,161,4.57,
19171,1799,비숍,https://www.acmicpc.net/problem/1799,15,"4,502",4.11,
19172,1800,인터넷 설치,https://www.acmicpc.net/problem/1800,15,846,3.04,
19173,1803,무술 연습,https://www.acmicpc.net/problem/1803,15,38,3.42,
19174,1838,버블 정렬,https://www.acmicpc.net/problem/1838,15,505,2.82,
19175,1847,볼록다각형 만들기,https://www.acmicpc.net/problem/1847,15,16,3.69,
19176,1856,단어 게임,https://www.acmicpc.net/problem/1856,15,66,2.03,
19177,1878,천칭 저울,https://www.acmicpc.net/problem/1878,15,13,1.92,
19178,1884,고속도로,https://www.acmicpc.net/problem/1884,15,209,3.24,
19179,1892,가위바위보,https://www.acmicpc.net/problem/1892,15,46,3.78,
19180,1917,정육면체 전개도,https://www.acmicpc.net/problem/1917,15,404,2.57,
19181,1933,스카이라인,https://www.acmicpc.net/problem/1933,15,740,3.11,
19182,1944,복제 로봇,https://www.acmicpc.net/problem/1944,15,"1,029",3.78,
19183,1994,등차수열,https://www.acmicpc.net/problem/1994,15,445,3.75,
19184,1998,이미지 압축,https://www.acmicpc.net/problem/1998,15,50,4.84,
19185,2001,보석 줍기,https://www.acmicpc.net/problem/2001,15,382,4.02,
19186,2014,소수의 곱,https://www.acmicpc.net/problem/2014,15,"2,775",4.20,
19187,2038,골롱 수열,https://www.acmicpc.net/problem/2038,15,427,2.21,
19188,2042,구간 합 구하기,https://www.acmicpc.net/problem/2042,15,"11,951",3.97,
